College Code,College Name,,Branch Name,OC,BC,BCM,MBC,SC,SCA,ST,PickMyCareer Rank,Branch Code
2709,Government College of Engineering (Formerly Institute of Road and Transport Technology) Vasavi College Post Erode District 638316,,INFORMATION TECHNOLOGY,187,179,177,180,164.5,169,157,131,10
2706,Dr. Mahalingam College of Engineering and Technology (Autonomous) Mackinaickenpatti Post Pollachi Taluk Coimbatore District 642003,,INFORMATION TECHNOLOGY,172.5,169,165.5,158,115,122,109,132,10
2755,Nehru Institute of Technology (Autonomous) Thirumalayampalayam Post Coimbatore District 641105,,INFORMATION TECHNOLOGY,154,142.5,139.5,142,121,119,93.5,133,10
2751,KGISL Institute of Technology KGISL Campus Thudiyalur Road Saravanampatti Coimbatore District 641035,,INFORMATION TECHNOLOGY,176,161.5,168.5,153,134,163.5,119.5,134,10
1113,R M K Engineering College (Autonomous) Kavaraipettai Gummidipoondi Thiruvallur District 601206,,INFORMATION TECHNOLOGY,184,180.5,180,173.5,144,103,107.5,135,10
1211,Rajalakshmi Engineering College (Autonomous) Thandalam Sriperumpudur Taluk Kancheepuram District 602105,,INFORMATION TECHNOLOGY,188.5,185,186,184.5,158.5,135,153.5,136,10
2006,PSG College of Technology (Autonomous) Peelamedu Coimbatore District 641004,,INFORMATION TECHNOLOGY (SS),197.5,197,195,195.5,180.5,179.5,186.605,137,10
5008,Thiagarajar College of Engineering (Autonomous) Tirupparankundram Madurai District 625015,,INFORMATION TECHNOLOGY (SS),194,193,191.5,189,166.5,166,134,138,10
1,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,,INFORMATION TECHNOLOGY (SS),199,198.5,198,198,191.5,176,182.5,139,10
5008,Thiagarajar College of Engineering (Autonomous) Tirupparankundram Madurai District 625015,,MECHANICAL ENGINEERING,187.5,182,185.5,182.5,160.5,146,122,143,11
4974,Government College of Engineering Tirunelveli District 627007,,MECHANICAL ENGINEERING,161.5,146.5,153.5,140.5,137,120.5,107,144,11
3465,Government College of Engineering Srirangam Sethurappatti Tiruchirappalli District 620012,,MECHANICAL ENGINEERING,151.5,138.5,138.5,129,116,103.5,136,145,11
2603,Government College of Engineering (Autonomous) Bargur Krishnagiri District 635104,,MECHANICAL ENGINEERING,155,141.5,148.5,141,132,127.5,86,146,11
2007,Coimbatore Institute of Technology (Autonomous) Civil Aerodrome Post Coimbatore District 641014,,MECHANICAL ENGINEERING,186.5,180.5,181,177.5,158.5,150.5,139.5,147,11
2005,Government College of Technology (Autonomous) Thadagam Road Coimbatore District 641013,,MECHANICAL ENGINEERING,182,173.5,177,173,155.5,151,141.47,148,11
2025,Anna University Regional Campus - Coimbatore Maruthamalai Main Road Navavoor Bharathiyar University Post Somayampalayam Coimbatore District 641046,,MECHANICAL ENGINEERING,162,149,137,141.5,139.5,133,125.5,149,11
3826,Kongunadu College of Engineering and Technology (Autonomous) Tholurpatti Thottiyam Tiruchirappalli District 621215,,MECHANICAL ENGINEERING,134,117,112,118.5,112,114.5,114,150,11
2615,Government College of Engineering (Autonomous) Karuppur Salem District 636011,,MECHANICAL ENGINEERING,172,161.5,144.5,155.5,140,138.5,144.5,151,11
2712,Kumaraguru College of Technology (Autonomous) Chinnavedampatti Post Coimbatore District 641006,,MECHANICAL ENGINEERING,175,170.5,156.5,163,141,147.5,123.5,152,11
